Pais,Socio,Logo,Link
Ethiopia,Alliance of Bioversity International and CIAT,alliance-logo.png,https://alliancebioversityciat.org/
Ethiopia,Ethiopian Institute of Agricultural Research (EIAR),eiar-logo.png,https://www.eiar.gov.et/
Ethiopia,Ministry of Agriculture,moa-logo.png,https://www.moa.gov.et/
Ethiopia,AICCRA,aiccra-logo.png,https://aiccra.cgiar.org/
Ethiopia,Excellence in Agronomy (EiA),eia-logo.png,https://www.cgiar.org/initiative/excellence-in-agronomy/
Ethiopia,GIZ Ethiopia,giz-logo.jpg,https://www.giz.de/en/worldwide/336.html
Ethiopia,Agricultural Transformation Institute,ati-logo.png,https://www.ata.gov.et/
Ethiopia,Ethio AgriData (COW),cow-logo.png,https://ethioagridata.com/
Ethiopia,CIMMYT,cimmyt-logo.png,https://www.cimmyt.org/
Ethiopia,ICRISAT,icrisat-logo.png,https://www.icrisat.org/
Ethiopia,CGIAR,cgiar-sf-logo.png,https://www.cgiar.org/
